ID,Cena,Oferta_od,Kategoria,Marka_pojazdu,Model_pojazdu,Rodzaj_paliwa,Moc,Pojemnosc_skokowa,Liczba_drzwi,Skrzynia_biegow,Wersja,Generacja,Segment,Kolor,Przebieg,Rok_produkcji,Naped,Spalanie_W_Miescie,Typ_nadwozia,Emisja_CO2,Liczba_miejsc,Rodzaj_koloru,Kraj_pochodzenia,Pierwszy_wlasciciel,Bezwypadkowy,Serwisowany_w_ASO,Stan,VAT_marza,Pierwsza_rejestracja,Numer_rejestracyjny_pojazdu,Zarejestrowany_w_Polsce,Filtr_czastek_stalych,Tuning,Mozliwosc_finansowania,Uszkodzony,Faktura_VAT,Spalanie_W_Cyklu_Mieszanym,Spalanie_Poza_Miastem,Okres_gwarancji_producenta,Leasing,Miesieczna_rata,lub_do_przebieg_km,Gwarancja_dealerska_w_cenie,Homologacja_ciezarowa,Oplata_poczatkowa,Liczba_pozostalych_rat,Wartosc_wykupu,Kierownica_po_prawej_Anglik,Zarejestrowany_jako_zabytek,Link
6088515478,61900.0,Firmy,Osobowe,Abarth,595,Benzyna,145,1368,3,Manualna,,,,Czerwony,30631,2017,Na przednie koła,,Auta małe,,4,,,,Tak,,Używane,Tak,,,,,,Tak,,,,,,Tak,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-darmowa-dostawa-145-km-pdc-klima-historia-serwis-ID6E2N0y.html#49f0648cc2
6088033302,71900.0,Firmy,Osobowe,Abarth,595,Benzyna,145,1368,3,Manualna,,,,Szary,25191,2018,Na przednie koła,,Auta małe,,4,,Niemcy,,Tak,,Używane,Tak,,,,,,Tak,,,,,,Tak,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-darmowa-dostawa-145km-pdc-aut-klima-bluetooth-hist-serwisowa-ID6E0Lzv.html#49f0648cc2
6088506602,67900.0,Firmy,Osobowe,Abarth,595,Benzyna,145,1368,3,Manualna,,,,Szary,18993,2019,Na przednie koła,,Auta małe,,4,,,,Tak,,Używane,Tak,,,,,,Tak,,,,,,Tak,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-darmowa-dostawa-klima-multifunkcja-hist-serw-ID6E2KHo.html#49f0648cc2
6088316230,52800.0,Firmy,Osobowe,Abarth,595,Benzyna,145,1368,3,Manualna,,,,Czarny,47866,2016,Na przednie koła,,Kompakt,,4,Metalik,Polska,,Tak,Tak,Używane,,05/06/2017,,Tak,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-abarth-595-fl-1-4-t-elaborabile-navi-serwis-w-aso-ID6E1XaS.html#49f0648cc2
6087417368,66900.0,Osoby prywatnej,Osobowe,Abarth,595,Benzyna,270,1400,3,Manualna,,,,Biały,43000,2018,Na przednie koła,,Auta miejskie,,3,,Polska,,Tak,Tak,Używane,,,WT2121E,Tak,,Tak,Tak,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-abarth-a595-salon-polska-bezwypadkowy-ID6DYbl6.html#49f0648cc2
6080145032,46900.0,Firmy,Osobowe,Abarth,500,Benzyna,180,1398,3,Automatyczna,,,,Czerwony,150659,2015,Na przednie koła,,Auta małe,,4,,,,,,Używane,Tak,,,Tak,,,Tak,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-500-bardzo-ladny-zadbany-ID6DtFtm.html#49f0648cc2
6088233917,82350.0,Firmy,Osobowe,Abarth,595,Benzyna,145,1368,3,Manualna,,,,Szary,5,2021,Na przednie koła,,Kompakt,,4,Metalik,Polska,,Tak,,Nowe,,,,,,,Tak,,Tak,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-1-4-16v-t-jet-145-km-szary-record-695-ID6E1BLf.html#49f0648cc2
6082669655,95000.0,Firmy,Osobowe,Abarth,595,Benzyna,165,1398,3,Manualna,,,,Niebieski,300,2021,Na przednie koła,,Auta małe,,3,Metalik,,,Tak,,Nowe,,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-abarth-scorpioneoro-165-km-edycja-limitowana-2000-szt-ID6DEgf5.html#49f0648cc2
6085005657,93900.0,Firmy,Osobowe,Abarth,595,Benzyna,107,1368,4,Manualna,,,,Szary,1,2021,,,Auta małe,,5,,,,Tak,,Nowe,Tak,,,,,,Tak,,Tak,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-595-cabrio-serie-5-1-4-16v-t-jet-145-km-dostepny-od-reki-ID6DO3Vx.html#49f0648cc2
6088473397,79900.0,Firmy,Osobowe,Abarth,595,Benzyna,145,1368,3,Manualna,,,,Biały,2,2021,Na przednie koła,,Auta małe,,,Metalik,Polska,,Tak,,Nowe,,,,,,,Tak,,Tak,,,,Tak,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-dostepny-od-reki-abarth-595-1-4-145km-2021-ID6E2C3P.html#49f0648cc2
6088471928,34099.0,Firmy,Osobowe,Abarth,595,Benzyna,145,1368,3,Manualna,,,,Czarny,42000,2017,Na przednie koła,,Auta małe,,4,Metalik,Polska,,,Tak,Używane,,,,Tak,,,,Tak,Tak,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-595-1-rej-2018-navi-panorama-klimatronic-salonpl-fv23-ID6E2BG8.html#49f0648cc2
6088122709,106200.0,Firmy,Osobowe,Abarth,595,Benzyna,165,1368,3,Manualna,,,,Czarny,1,2021,Na przednie koła,,Auta małe,,4,,,,Tak,,Nowe,,,,,,,Tak,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-595-1-4-t-jet-145km-turismo-bi-color-ID6E18Pz.html#49f0648cc2
6088120797,93500.0,Firmy,Osobowe,Abarth,595,Benzyna,145,1368,3,Manualna,,,,Żółty,1,2021,Na przednie koła,,Auta małe,,4,,,,Tak,,Nowe,,,,,,,Tak,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-595-1-4-t-jet-145km-zolty-modena-ID6E18kJ.html#49f0648cc2
6088119494,97300.0,Firmy,Osobowe,Abarth,595,Benzyna,145,1368,3,Manualna,,,,Szary,1,2021,Na przednie koła,,Auta małe,,4,Metalik,,,Tak,,Nowe,,,,,,,Tak,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-595-1-4-t-jet-145km-dach-szklany-elektrycznie-otwierany-ID6E17ZI.html#49f0648cc2
6088118229,89990.0,Firmy,Osobowe,Abarth,595,Benzyna,145,1400,3,Manualna,,,,Biały,300,2021,Na przednie koła,,Auta małe,,4,,,,Tak,,Używane,,05/08/2021,,,,,Tak,,Tak,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-cabrio-1-4-145km-elaborabile-3452-demo-ID6E17Fj.html#49f0648cc2
